P,I,G,S,L,C,mu_hat_zj,mu_hat_base_zj,delta_hat_zj,group_id,policy_id,n_obs_cell,group_label,pi_zj,ug,ug_shrunk,wage_anchor_monthly,income_anchor,q_g,r_g,tau_si,w_g,m_L,k_L,C_cash_zj,A_C,u_g_used,C_childcare_zj,SC_g,C_leave_birth_allowance,C_leave_socsub,C_leave_zj,C_total_zj,scenario,scenario_note
1,2,1,1,1,1,7.058226399710394,7.058226399710394,0.0,1-2-1,1-1-1,47,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,0.0,0,0.0,0.0,0.5,0.0,2973.5116666666668,0.0,0.0,0.0,0.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,2,1,1,1,2,7.373849066996538,7.058226399710394,0.3156226672861439,1-2-1,1-1-2,47,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,0.0,0,0.0,8400.0,0.5,4200.0,2973.5116666666668,0.0,0.0,0.0,4200.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,2,1,1,2,1,7.473673282823267,7.058226399710394,0.4154468831128728,1-2-1,1-2-1,32,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,1.0,6,0.0,0.0,0.5,0.0,2973.5116666666668,9149.266666666668,7136.428,16285.694666666668,16285.694666666668,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,2,1,1,2,2,7.402187470880724,7.058226399710394,0.3439610711703302,1-2-1,1-2-2,12,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,1.0,6,0.0,8400.0,0.5,4200.0,2973.5116666666668,9149.266666666668,7136.428,16285.694666666668,20485.69466666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,2,1,1,3,1,7.472150899846806,7.058226399710394,0.413924500136412,1-2-1,1-3-1,46,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,2.0,6,0.0,0.0,0.5,0.0,2973.5116666666668,18298.533333333336,7136.428,25434.961333333336,25434.961333333336,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,2,1,1,3,2,7.6221274985104515,7.058226399710394,0.5639010988000575,1-2-1,1-3-2,47,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,2.0,6,0.0,8400.0,0.5,4200.0,2973.5116666666668,18298.533333333336,7136.428,25434.961333333336,29634.961333333336,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,2,1,2,1,1,7.042890173381235,7.058226399710394,-0.0153362263291594,1-2-1,2-1-1,0,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,0.0,0,10800.0,0.0,0.5,0.0,2973.5116666666668,0.0,0.0,0.0,10800.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,2,1,2,1,2,7.541881251657921,7.058226399710394,0.4836548519475272,1-2-1,2-1-2,0,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,0.0,0,10800.0,8400.0,0.5,4200.0,2973.5116666666668,0.0,0.0,0.0,15000.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,2,1,2,2,1,7.508371023100887,7.058226399710394,0.4501446233904929,1-2-1,2-2-1,36,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,1.0,6,10800.0,0.0,0.5,0.0,2973.5116666666668,9149.266666666668,7136.428,16285.694666666668,27085.69466666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,2,1,2,2,2,7.620253622148887,7.058226399710394,0.562027222438493,1-2-1,2-2-2,12,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,1.0,6,10800.0,8400.0,0.5,4200.0,2973.5116666666668,9149.266666666668,7136.428,16285.694666666668,31285.69466666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,2,1,2,3,1,7.54593167643881,7.058226399710394,0.4877052767284162,1-2-1,2-3-1,49,首胎/无子女|中高收入|无祖辈照护,0.0052083333333333,0.5,0.6931423611111112,11436.583333333334,中高收入→非私营单位平均工资,0.8,1.0,0.26,11436.583333333334,2.0,6,10800.0,0.0,0.5,0.0,2973.5116666666668,18298.533333333336,7136.428,25434.961333333336,36234.96133333334,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
